Størrelse?,
Hvornår beskære man?,
Er den giftig?,
Hvor hurtig vokser den?,
Kan den klare vind?,
Hvilken placering?,
Kan den tåle frost,
Kan den stå inde?,
Hvad farve blomster får den?,
Hvornår blomstre den?,
Er den surbund? Og kan den klare surbund,
Kan den klare salt?,
Kan den klare at være i en potte?,
Hvad for noget jord skal den have?,
Kan den klare meget sandet jord?,
Kan den klare meget leret jord? ,
Dufter den?,
Kan den tåle skygge?,
